# Made up SF6 emissions
# UNITS: Gg/yr
year,box_0,box_1,box_2,box_3
2010,2.92586745, 3.40553421, 0.14452101, 0.
2011,2.92586745, 3.40553421, 0.14452101, 0.
2012,2.92586745, 3.40553421, 0.14452101, 0.
2013,2.92586745, 3.40553421, 0.14452101, 0.
2014,2.92586745, 3.40553421, 0.14452101, 0.
2015,2.92586745, 3.40553421, 0.14452101, 0.
2016,2.92586745, 3.40553421, 0.14452101, 0.
2017,2.92586745, 3.40553421, 0.14452101, 0.
2018,2.92586745, 3.40553421, 0.14452101, 0.
2019,2.92586745, 3.40553421, 0.14452101, 0.
2020,2.92586745, 3.40553421, 0.14452101, 0.

